ts,node,temp_c,hum
2026-03-05 08:00:00,node-a,20.22,65.7
2026-03-05 08:20:00,node-b,20.25,55.5
2026-03-05 08:40:00,node-c,20.63,57.0
2026-03-05 09:00:00,node-a,21.23,58.5
2026-03-05 09:20:00,node-b,,69.2
2026-03-05 09:40:00,node-c,22.17,58.2
2026-03-05 10:00:00,node-a,21.77,61.7
2026-03-05 10:20:00,node-b,22.24,55.2
2026-03-05 10:40:00,node-c,22.91,60.3
2026-03-05 11:00:00,node-a,n/a,54.6
2026-03-05 11:20:00,node-b,22.97,62.9
2026-03-05 11:40:00,node-c,22.54,59.9
2026-03-05 12:00:00,node-a,24.90,56.7
2026-03-05 12:20:00,node-b,22.83,51.1
2026-03-05 12:40:00,node-c,23.38,58.6
2026-03-05 13:00:00,node-a,23.63,59.3
2026-03-05 13:20:00,node-b,24.05,53.6
2026-03-05 13:40:00,node-c,24.08,52.6
2026-03-05 14:00:00,node-a,25.28,57.9
2026-03-05 14:20:00,node-b,24.63,50.0
2026-03-05 14:40:00,node-c,25.27,47.6
2026-03-05 15:00:00,node-a,24.77,49.1
2026-03-05 15:20:00,node-b,22.91,48.3
2026-03-05 15:40:00,node-c,23.99,39.9
2026-03-05 16:00:00,node-a,24.29,46.7
2026-03-05 16:20:00,node-b,24.13,51.0
2026-03-05 16:40:00,node-c,N/A,58.4
2026-03-05 17:00:00,node-a,24.39,66.8
2026-03-05 17:20:00,node-b,24.34,49.8
2026-03-05 17:40:00,node-c,23.67,52.8
2026-03-05 18:00:00,node-a,23.17,53.2
2026-03-05 18:20:00,node-b,23.21,52.1
2026-03-05 18:40:00,node-c,23.43,61.8
2026-03-05 19:00:00,node-a,--,63.3
2026-03-05 19:20:00,node-b,23.19,54.5
2026-03-05 19:40:00,node-c,21.98,58.1
2026-03-05 20:00:00,node-a,21.29,56.9
2026-03-05 20:20:00,node-b,21.90,60.8
2026-03-05 20:40:00,node-c,ERROR,65.9
2026-03-05 21:00:00,node-a,22.27,62.0
2026-03-05 21:20:00,node-b,"21,5",64.0
2026-03-05 21:40:00,node-c,21.01,64.3
2026-03-05 22:00:00,node-a,20.56,61.1
2026-03-05 22:20:00,node-b,20.29,64.7
2026-03-05 22:40:00,node-c,19.89,67.8
2026-03-05 23:00:00,node-a,19.45,67.2
2026-03-05 23:20:00,node-b,19.74,60.7
2026-03-05 23:40:00,node-c,19.17,64.2
2026-03-06 00:00:00,node-a,   ,71.7
2026-03-06 00:20:00,node-b,18.57,65.2
2026-03-06 00:40:00,node-c,18.86,72.4
2026-03-06 01:00:00,node-a,19.13,62.7
2026-03-06 01:20:00,node-b,18.77,69.3
2026-03-06 01:40:00,node-c,null,73.4
2026-03-06 02:00:00,node-a,17.29,75.9
2026-03-06 02:20:00,node-b,23.4C,73.3
2026-03-06 02:40:00,node-c,18.48,70.9
2026-03-06 03:00:00,node-a,17.96,72.1
2026-03-06 03:20:00,node-b,19.78,72.7
2026-03-06 03:40:00,node-c,17.02,77.8
