ts,node,temp_c,hum,t_max,t_min,fault
2026-03-02 06:00:00, NODE-A ,18.72,75.8,24.03,17.78,0
2026-03-02 06:00:00,node-b,18.38,,24.03,17.71,0
2026-03-02 06:00:00,node-c,20.25,76.0,25.04,18.21,0
2026-03-02 06:00:00,node-d,20.08,68.4,25.30,18.28,0
2026-03-02 06:00:00,node-e,22.84,73.9,26.52,18.95,0
2026-03-02 06:00:00,node-f,20.91,60.5,26.85,20.18,0
2026-03-02 06:15:00,node-a,19.15,63.9,24.03,17.78,0
2026-03-02 06:15:00,node-b,19.12,66.2,24.03,17.71,0
2026-03-02 06:15:00,node-c,19.61,63.7,25.04,18.21,0
2026-03-02 06:15:00,node-d,19.05,62.3,25.30,18.28,0
2026-03-02 06:15:00,node-e,21.36,75.1,26.52,18.95,0
2026-03-02 06:15:00,node-f ,21.01,67.1,26.85,20.18,0
2026-03-02 06:30:00,node-a,19.08,73.9,24.03,17.78,0
2026-03-02 06:30:00,node-b,18.45,76.0,24.03,17.71,0
2026-03-02 06:30:00,node-c,19.17,76.1,25.04,18.21,0
2026-03-02 06:30:00,node-d,18.58,76.0,25.30,18.28,0
2026-03-02 06:30:00,NODE-E,19.88,71.3,26.52,18.95,0
2026-03-02 06:30:00,node-f,20.97,62.2,26.85,20.18,1
2026-03-02 06:45:00,node-a,18.44,75.7,24.03,17.78,0
2026-03-02 06:45:00,node-a,18.44,75.7,24.03,17.78,0
2026-03-02 06:45:00,node-b,19.56,72.8,24.03,17.71,0
2026-03-02 06:45:00,node-c,19.34,75.6,25.04,18.21,0
2026-03-02 06:45:00,node-d,19.57,,25.30,18.28,0
2026-03-02 06:45:00,node-e,20.59,62.3,26.52,18.95,0
2026-03-02 06:45:00,node-f,20.73,65.0,26.85,20.18,0
2026-03-02 07:00:00,node-a,19.35,75.0,24.03,17.78,0
2026-03-02 07:00:00,node-b,19.09,66.9,24.03,17.71,0
2026-03-02 07:00:00,node-c,19.20,56.2,25.04,18.21,0
2026-03-02 07:00:00,node-d,19.87,58.7,25.30,18.28,0
2026-03-02 07:00:00,node-e,19.91,69.5,26.52,18.95,0
2026-03-02 07:00:00,node-f,20.68,61.0,26.85,20.18,0
2026-03-02 07:15:00,node-a,19.06,74.8,24.03,17.78,0
2026-03-02 07:15:00,node-b,18.18,64.4,24.03,17.71,0
2026-03-02 07:15:00,node-c ,19.95,69.1,25.04,18.21,0
2026-03-02 07:15:00,node-d,20.02,63.8,25.30,18.28,0
2026-03-02 07:15:00,node-e,20.39,71.1,26.52,18.95,0
2026-03-02 07:15:00,node-f,20.90,65.3,26.85,20.18,0
2026-03-02 07:30:00,node-a,19.34,78.6,24.03,17.78,0
2026-03-02 07:30:00, NODE-B ,19.82,66.6,24.03,17.71,0
2026-03-02 07:30:00,node-c,18.73,66.7,25.04,18.21,0
2026-03-02 07:30:00,node-d,20.28,67.8,25.30,18.28,0
2026-03-02 07:30:00,node-e,21.06,,26.52,18.95,0
2026-03-02 07:30:00,node-f,,66.4,26.85,20.18,1
2026-03-02 07:45:00,node-a,20.09,66.9,24.03,17.78,0
2026-03-02 07:45:00,node-b,18.85,61.4,24.03,17.71,0
2026-03-02 07:45:00,node-c,20.99,65.3,25.04,18.21,0
2026-03-02 07:45:00,node-d,20.63,60.7,25.30,18.28,0
2026-03-02 07:45:00,node-e,21.63,63.3,26.52,18.95,0
2026-03-02 07:45:00,node-f,21.84,57.2,26.85,20.18,0
2026-03-02 08:00:00,node-a,18.93,,24.03,17.78,0
2026-03-02 08:00:00,node-b,19.84,58.1,24.03,17.71,0
2026-03-02 08:00:00,node-c,19.79,65.3,25.04,18.21,0
2026-03-02 08:00:00,node-c,19.79,65.3,25.04,18.21,0
2026-03-02 08:00:00,node-d,20.51,73.0,25.30,18.28,0
2026-03-02 08:00:00,node-e,,61.1,26.52,18.95,0
2026-03-02 08:00:00,node-f ,22.40,49.4,26.85,20.18,1
2026-03-02 08:15:00,node-a,20.16,80.7,24.03,17.78,0
2026-03-02 08:15:00,node-b,18.69,56.8,24.03,17.71,0
2026-03-02 08:15:00,node-c,20.86,65.3,25.04,18.21,0
2026-03-02 08:15:00,node-d,20.26,52.5,25.30,18.28,0
2026-03-02 08:15:00, NODE-E ,21.89,63.7,26.52,18.95,0
2026-03-02 08:15:00,node-f,22.13,62.1,26.85,20.18,1
2026-03-02 08:30:00,node-a,19.07,76.3,24.03,17.78,0
2026-03-02 08:30:00,node-b,19.68,57.0,24.03,17.71,0
2026-03-02 08:30:00,node-c,21.12,69.4,25.04,18.21,0
2026-03-02 08:30:00,node-d,20.64,65.9,25.30,18.28,0
2026-03-02 08:30:00,node-e,20.96,70.2,26.52,18.95,0
2026-03-02 08:30:00,node-f,23.09,44.8,26.85,20.18,1
2026-03-02 08:45:00,node-a,18.56,58.0,24.03,17.78,0
2026-03-02 08:45:00,node-b,19.50,75.1,24.03,17.71,0
2026-03-02 08:45:00,node-c,20.55,68.4,25.04,18.21,0
2026-03-02 08:45:00,node-d,20.52,73.6,25.30,18.28,0
2026-03-02 08:45:00,node-e,22.42,54.5,26.52,18.95,0
2026-03-02 08:45:00,node-f,21.75,62.6,26.85,20.18,0
2026-03-02 08:45:00,node-f,21.75,62.6,26.85,20.18,0
2026-03-02 09:00:00,node-a,20.07,,24.03,17.78,0
2026-03-02 09:00:00,node-b,20.63,54.6,24.03,17.71,0
2026-03-02 09:00:00,NODE-C,20.20,60.2,25.04,18.21,0
2026-03-02 09:00:00,node-d,21.71,67.6,25.30,18.28,0
2026-03-02 09:00:00,node-d,21.71,67.6,25.30,18.28,0
2026-03-02 09:00:00,node-e,20.69,61.6,26.52,18.95,0
2026-03-02 09:00:00,node-f,23.30,60.3,26.85,20.18,1
2026-03-02 09:15:00,node-a,20.31,71.7,24.03,17.78,0
2026-03-02 09:15:00, NODE-B ,19.51,64.6,24.03,17.71,0
2026-03-02 09:15:00,node-c,19.64,64.7,25.04,18.21,0
2026-03-02 09:15:00,node-d,22.72,63.7,25.30,18.28,1
2026-03-02 09:15:00,node-e,22.33,60.5,26.52,18.95,0
2026-03-02 09:15:00,node-f,21.77,,26.85,20.18,0
2026-03-02 09:30:00,node-a,18.35,74.2,24.03,17.78,0
2026-03-02 09:30:00,node-b,19.26,77.1,24.03,17.71,0
2026-03-02 09:30:00,node-c,20.55,56.4,25.04,18.21,0
2026-03-02 09:30:00,node-d,21.77,50.0,25.30,18.28,0
2026-03-02 09:30:00,node-e,21.57,57.2,26.52,18.95,0
2026-03-02 09:30:00,node-f,22.22,55.7,26.85,20.18,0
2026-03-02 09:45:00,node-a,18.48,67.5,24.03,17.78,0
2026-03-02 09:45:00,node-b,20.98,68.0,24.03,17.71,0
2026-03-02 09:45:00,node-c,21.24,58.5,25.04,18.21,0
2026-03-02 09:45:00,node-d,22.30,58.6,25.30,18.28,1
2026-03-02 09:45:00,node-e,22.28,50.8,26.52,18.95,0
2026-03-02 09:45:00,NODE-F,22.63,69.6,26.85,20.18,0
2026-03-02 10:00:00,node-a,,60.5,24.03,17.78,0
2026-03-02 10:00:00,node-b,19.75,67.1,24.03,17.71,0
